id,sell out date,order id,master product code,master product name,readable name,product code,color code,size code,price per pack,pcs per pack,quantity (pack),quantity,price per pack (ex vat),total amount
70427678,6/17/2023 15:36:55,65272231,EP-012-F-01-A007,Glove ICU-F-น้ำเงินใบบัวบก,Glove ICU-F-01-A007-น้ำเงินใบบัวบก,EP-012,01-A007,F,1100,1,2,2,1028.037383,2200
9c69cd6d,6/17/2023 15:44:40,65272231,EP-011-F-01-A002,Glove-F-หินอ่อน,Glove-F-01-A002-หินอ่อน,EP-011,01-A002,F,880,1,2,2,822.4299065,1760
3082b336,6/17/2023 16:31:53,574db9e2,EP-006-M-02-A001,Belt-M-น้ำเงินกรมท่า,Belt-M-02-A001-น้ำเงินกรมท่า,EP-006,02-A001,M,0,1,1,1,0,0
d56b8678,6/17/2023 16:36:05,574db9e2,EP-021-F-01-A020,Safety Belt-F-น้ำเงินกรมท่า,Safety Belt-F-01-A020-น้ำเงินกรมท่า,EP-021,01-A020,F,0,1,1,1,0,0
11a252de,6/17/2023 16:36:52,547d27f1,EP-006-M-02-A001,Belt-M-น้ำเงินกรมท่า,Belt-M-02-A001-น้ำเงินกรมท่า,EP-006,02-A001,M,0,1,1,1,0,0
f81865d5,6/18/2023 14:09:00,79d68bd1,EP-022-5-01-A000,Oral Wipe-5pcs-ไม่มีรหัสสี,Oral Wipe-5-01-A000-ไม่มีรหัสสี,EP-022,01-A000,5,0,1,1,1,0,0
67bdb19b,6/18/2023 17:43:56,b2c5be32,EP-001-M-01-A001,Soft-M-น้ำเงินลายจุด,Soft-M-01-A001-น้ำเงินลายจุด,EP-001,01-A001,M,0,1,1,1,0,0
285b6a0e,6/19/2023 18:41:52,2e07ac0f,EP-001-M-01-A001,Soft-M-น้ำเงินลายจุด,Soft-M-01-A001-น้ำเงินลายจุด,EP-001,01-A001,M,0,1,1,1,0,0
100b680b,6/19/2023 18:42:38,2e07ac0f,EP-021-F-01-A020,Safety Belt-F-น้ำเงินกรมท่า,Safety Belt-F-01-A020-น้ำเงินกรมท่า,EP-021,01-A020,F,0,1,1,1,0,0
4bcb99f0,6/20/2023 9:00:58,0f604387,EP-001-L-01-A005,Soft-L-น้ำเงินเหลี่ยม,Soft-L-01-A005-น้ำเงินเหลี่ยม,EP-001,01-A005,L,0,1,1,1,0,0
b29b74c1,6/20/2023 9:01:40,85808b44,EP-001-M-01-A002,Soft-M-หินอ่อน,Soft-M-01-A002-หินอ่อน,EP-001,01-A002,M,0,1,1,1,0,0
e75e578f,6/20/2023 15:47:58,,EP-022-3-01-A000,Oral Wipe-3pcs-ไม่มีรหัสสี,Oral Wipe-3-01-A000-ไม่มีรหัสสี,EP-022,01-A000,3,0,3,2,6,0,0
c0893739,6/20/2023 22:16:48,198605b6,EP-011-F-01-A009,Glove-F-เขียวเส้นสั้นๆ,Glove-F-01-A009-เขียวเส้นสั้นๆ,EP-011,01-A009,F,0,1,1,1,0,0
70ef8b9c,6/20/2023 22:17:23,198605b6,EP-022-5-01-A000,Oral Wipe-5pcs-ไม่มีรหัสสี,Oral Wipe-5-01-A000-ไม่มีรหัสสี,EP-022,01-A000,5,0,5,1,5,0,0
bfd33024,6/21/2023 9:23:05,60e12db9,EP-001-XL-01-A005,Soft-XL-น้ำเงินเหลี่ยม,Soft-XL-01-A005-น้ำเงินเหลี่ยม,EP-001,01-A005,XL,0,1,1,1,0,0
7fb4669f,6/21/2023 18:28:11,5cdbe984,EP-001-M-01-A009,Soft-M-เขียวเส้นสั้นๆ,Soft-M-01-A009-เขียวเส้นสั้นๆ,EP-001,01-A009,M,0,1,1,1,0,0
18db2dba,6/21/2023 18:28:55,5cdbe984,EP-001-M-01-A004,Soft-M-น้ำตาล,Soft-M-01-A004-น้ำตาล,EP-001,01-A004,M,0,1,1,1,0,0
a469544c,6/21/2023 18:29:22,5cdbe984,EP-001-M-01-A017,Soft-M-น้ำเงินจุดวง,Soft-M-01-A017-น้ำเงินจุดวง,EP-001,01-A017,M,0,1,1,1,0,0
3215cb6a,6/21/2023 18:30:01,5cdbe984,EP-001-M-01-A006,Soft-M-ดอกไม้ขาวเล็ก,Soft-M-01-A006-ดอกไม้ขาวเล็ก,EP-001,01-A006,M,0,1,1,1,0,0
e32adc5d,6/21/2023 18:30:40,5cdbe984,EP-001-M-01-A019,Soft-M-ม่วงเลือดหมูดอก,Soft-M-01-A019-ม่วงเลือดหมูดอก,EP-001,01-A019,M,0,1,1,1,0,0
6c4e9c0c,6/23/2023 17:40:23,6d84f104,EP-002-M-02-A006,Smart-M-น้ำเงินสด,Smart-M-02-A006-น้ำเงินสด,EP-002,02-A006,M,0,1,1,1,0,0
fd93dc68,6/24/2023 8:57:10,3964858f,EP-001-L-01-A005,Soft-L-น้ำเงินเหลี่ยม,Soft-L-01-A005-น้ำเงินเหลี่ยม,EP-001,01-A005,L,0,1,1,1,0,0
9edf8672,6/24/2023 14:21:46,a964c2a3,EP-001-XL-01-A005,Soft-XL-น้ำเงินเหลี่ยม,Soft-XL-01-A005-น้ำเงินเหลี่ยม,EP-001,01-A005,XL,0,1,1,1,0,0
411789ed,6/24/2023 14:56:03,835fc0d0,EP-011-F-01-A009,Glove-F-เขียวเส้นสั้นๆ,Glove-F-01-A009-เขียวเส้นสั้นๆ,EP-011,01-A009,F,0,1,2,2,0,0
e51431d1,6/24/2023 15:03:32,d75bfd23,EP-011-F-01-A003,Glove-F-กากบาทส้ม,Glove-F-01-A003-กากบาทส้ม,EP-011,01-A003,F,0,1,2,2,0,0
e10b4298,6/24/2023 16:06:15,09d6c0f4,EP-001-L-01-A005,Soft-L-น้ำเงินเหลี่ยม,Soft-L-01-A005-น้ำเงินเหลี่ยม,EP-001,01-A005,L,0,1,2,2,0,0
1c391189,6/24/2023 16:08:08,,EP-001-L-01-A005,Soft-L-น้ำเงินเหลี่ยม,Soft-L-01-A005-น้ำเงินเหลี่ยม,EP-001,01-A005,L,0,1,2,2,0,0
6dee5e02,6/24/2023 16:10:56,,EP-021-F-01-A020,Safety Belt-F-น้ำเงินกรมท่า,Safety Belt-F-01-A020-น้ำเงินกรมท่า,EP-021,01-A020,F,0,1,1,1,0,0
42df9183,6/24/2023 17:13:38,e4985720,EP-011-F-01-A005,Glove-F-น้ำเงินเหลี่ยม,Glove-F-01-A005-น้ำเงินเหลี่ยม,EP-011,01-A005,F,0,1,1,1,0,0
c811b417,6/24/2023 17:35:08,126c0ddc,EP-001-L-01-A005,Soft-L-น้ำเงินเหลี่ยม,Soft-L-01-A005-น้ำเงินเหลี่ยม,EP-001,01-A005,L,0,1,1,1,0,0
